GeneralCategory,ControlledVariable,ControlledDescription,Units,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7
Carbon,Total_Soil_C,Total of all forms of carbon in the soil (organic and inorganic C),g C/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,15N_NA,"15N isotope concentration, natural abundance",per mille,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,ACE_protein,Autoclaved citrate extractable soil protein; glomalin,g protein/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Ammonium_NH4_extractable,Ammonium in soil extract,mg N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Ammonium_NH4_dissolved,Dissolved ammonium in naturally-occuring soil water,g N/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Denitrification_rate,Denitrification rate,mg N/kg*hr,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Mineral_Associated_OM_N,Mineral associated organic matter nitrogen,mg N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Mineralizable N,Accumulation of soil nitrate and ammonium,mg N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Nitrate_NO3_extractable,Nitrate in soil extract,mg N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Nitrate_NO3_dissolved,Dissolved nitrate in naturally-occuring soil water,g N/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Nitrification_rate,Rate of nitrate production,mg N/kg*hr,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Nitrite_NO2_extractable,Nitrite in soil extract,mg N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Nitrite_NO2_dissolved,Dissolved nitrite in naturally-occuring soil water,g N/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,POM_N,Particulate organic matter nitrogen,mg N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Total_Kjeldahl_N,Organic nitrogen plus ammonium determined by Kjeldalh method,mg N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Total_N_extractable,Total nitrogen in soil extract,g N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Total_N_dissolved,Dissolved total nitrogen in naturally-occuring soil water,g N/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Nitrogen,Total_Soil_N,Total soil nitrogen,g N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Phosphorus,Total_P_extractable,Total phosphorus in soil extract,mg P/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Phosphorus,Total_P_dissolved,Dissolved total phosphorus in naturally-occuring soil water,mg P/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Phosphorus,PO4_extractable,Phosphate in soil extract,mg P/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Phosphorus,PO4_dissolved,Dissolved phosphate in naturally-occuring soil water,mg P/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Phosphorus,Total_Soil_P,Total soil phosphorus,mg P/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Sulfur,S_extractable,Extractable soil sulfur,mg S/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Sulfur,SO4_extractable,Extractable soil sulfate,mg S/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Sulfur,Total_Soil_S,Total soil sulfur,mg S/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Cations,Al_extractable,Soil concentration of extractable Aluminum,mg Al/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,B_extractable,Soil concentration of extractable Boron,mg B/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Ba_extractable,Soil concentration of extractable Barium,mg Ba/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Be_extractable,Soil concentration of extractable Beryllium,mg Be/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Cations,Ca_extractable,Soil concentration of extractable Calcium,mg Ca/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Cd_extractable,Soil concentration of extractable Cadmium,mg Cd/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Co_extractable,Soil concentration of extractable Cobalt,mg Co/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Cr_extractable,Soil concentration of extractable Chromium,mg Cr/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Cu_extractable,Soil concentration of extractable Copper,mg Cu/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Cations,Fe_extractable,Soil concentration of extractable Iron,mg Fe/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Cations,K_extractable,Soil concentration of extractable Potassium,mg K/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Li_extractable,Soil concentration of extractable Lithium,mg Li/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Cations,Mg_extractable,Soil concentration of extractable Magnesium,mg Mg/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Cations,Mn_extractable,Soil concentration of extractable Manganese,mg Mn/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Mo_extractable,Soil concentration of extractable Molybdenum,mg Mo/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Cations,Na_extractable,Soil concentration of extractable Sodium,mg Na/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Ni_extractable,Soil concentration of extractable Nickel,mg Ni/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Pb_extractable,Soil concentration of extractable Lead,mg Pb/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Rb_extractable,Soil concentration of extractable Rubidium,mg Rb/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Se_extractable,Soil concentration of extractable Selenium,mg Se/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Si_extractable,Soil concentration of extractable Silicon,mg Si/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
