LTARSiteCode,SiteVariableName,SiteVariableDescription,Units,ControlledVariable,ControlledDescription,ControlledUnits,Comments,TemporalResolution,StartDate,EndDate,ResponsiblePersons,StorageFormat,URLdataAccess,LocationIDoutsideNetwork,SpatialRepeats,SpatialDescription,AgCROS.Table,AgCROS.VarName
ABS-UF,NO3-N,"NIFA, baseline",kg/ha,Nitrate_NO3_extractable,Nitrate in soil extract,mg N/kg,,Once,2016,2016,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Nitrate nitrogen, soil"
ABS-UF,NO3-N,nitrate nitrogen,ug/g soil,Nitrate_NO3_extractable,Nitrate in soil extract,mg N/kg,,yearly,1999,2003,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Nitrate nitrogen, soil"
ABS-UF,NO3-N,"nitrate nitrogen, pastures, wetlands",ug/g soil,Nitrate_NO3_extractable,Nitrate in soil extract,mg N/kg,,Irregular,2000,2001,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Nitrate nitrogen, soil"
ABS-UF,OM,"pastures, wetlands, organic matter",%,Total_organic_C,Soil concentration of total organic carbon,g C/kg,,Irregular,2000,2001,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",%OC
ABS-UF,OM,"wetlands, organic matter",%,Total_organic_C,Soil concentration of total organic carbon,g C/kg,,Once in 2 years,2007,2009,,excel files,,,40,wetlands,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",%OC
ABS-UF,OM,"wetlands, organic matter",%,Total_organic_C,Soil concentration of total organic carbon,g C/kg,,Once,2016,2016,,excel files,,,40,wetlands,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",%OC
ABS-UF,P,"NIFA, baseline",kg/ha,Total_Soil_P,Total soil phosphorus,mg P/kg,,Once,2016,2016,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphorus, soil"
ABS-UF,PLFA,"soil phospholipid fatty acid, NIFA, RCREC",nmol/g soil,PLFA,"Phospholipid Fatty Acids, were they measured",-,,Irregular,2017,Present,,excel files,,,32,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",PLFA
ABS-UF,Soil conductivity,,dS/m,Electrical_conductivity,Soil electrical conductivity,decisiemens/m,,30 min,2016,Present,,.dat files,,,5,EC towers,"AmeriFlux, MeasGHGFlux","Soil electrical conductivity, soil"
ABS-UF,Soil moisture,,%,Soil_Moisture_vol,Volumetric soil moisture content,% vol (cm3 H2O/cm3 soil*100),,15 min,1997,Present,,".dat files, access db",,,4,weather stations,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture
ABS-UF,Soil temperature,"min, max",F,Soil_Temp,Soil temperature at a given soil depth,°C,,15 min,1997,Present,,".dat files, access db",,,4,weather stations,"WeatherDaily, WeatherStation","Temperature, soil, daily, mean"
ABS-UF,WSP/WEP,"water soluble phosphate, water extractable phosphate, RCREC",g/m2,PO4_dissolved,Dissolved phosphate in naturally-occuring soil water,mg P/L,,Once,2003,2003,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphate, water"
ABS-UF,WSP/WEP,"water soluble phosphate, water extractable phosphate, RCREC",g/m2,PO4_dissolved,Dissolved phosphate in naturally-occuring soil water,mg P/L,,Irregular,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphate, water"
ABS-UF,aggregate classes,RCREC,"categorical, %",Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,,Irregular,2017,2018,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil classification
ABS-UF,aggregate stability/distribution,"soil classification, RCREC",g/kg,Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,,Irregular,2009,2012,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Micro or Macroaggregation
ABS-UF,aggregate stability/distribution,"soil classification, RCREC",g/kg,Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,,Irregular,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Micro or Macroaggregation
ABS-UF,avg detrital depth,wetlands,cm,,,,SA: should we delete this? ,Once in 2 years,2007,2009,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Ground cover, vegetated, none, mean or single measurement, fraction of land area"
ABS-UF,bulk density,"pastures, wetlands",g/cm3,Bulk_Density,Oven-dried soil mass per volume,g/cm3,,Once,2000,2000,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Bulk density, soil"
ABS-UF,bulk density,RCREC,g/cm3,Bulk_Density,Oven-dried soil mass per volume,g/cm3,,Irregular,2006,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Bulk density, soil"
ABS-UF,bulk density,RCREC,g/cm3,Bulk_Density,Oven-dried soil mass per volume,g/cm3,,Irregular,2009,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Bulk density, soil"
ABS-UF,cation exchange capacity,"NIFA, baseline",cmol(+)/kg,CEC,Cation Exchange capacity,cmol/kg,,Once,2016,2016,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Cation exchange capacity, soil"
ABS-UF,denitrification,denitrification rate,g/ha/day N,Denitrification_rate,Denitrification rate,mg N/kg*hr,,Irregular,2000,2001,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Nitrogen
ABS-UF,labile C,RCREC,g/kg,,,,Not sure what the equivalent is,Irregular,2009,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Mineral associated carbon, soil, mean or single measurement"
ABS-UF,leachate N,RCREC,kg/ha,Total_N_dissolved,Dissolved total nitrogen in naturally-occuring soil water,g N/L,,weekly,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Nitrogen
ABS-UF,leachate N,RCREC,kg/ha,Total_N_dissolved,Dissolved total nitrogen in naturally-occuring soil water,g N/L,,monthly,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Nitrogen
ABS-UF,leachate P,RCREC,kg/ha,Total_P_dissolved,Dissolved total phosphorus in naturally-occuring soil water,mg P/L,,weekly,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Phosphorus
ABS-UF,leachate P,RCREC,kg/ha,Total_P_dissolved,Dissolved total phosphorus in naturally-occuring soil water,mg P/L,,monthly,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Phosphorus
ABS-UF,microbial diversity,"microbial enzymes, microbial RNA, microbial DNA, pre fire, post fire, RCREC",categorical,Microbial_genes,Abundance of specific microbial genes,number of reads/g,,Once,2019,2019,,excel files,,,16,pastures,,soil microbial diversity
ABS-UF,moisture,around eddy flux towers,%,Soil_Moisture_vol,Volumetric soil moisture content,% vol (cm3 H2O/cm3 soil*100),,monthly,2016,Present,,excel files,,,4,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture
ABS-UF,moisture,fire plot,%,Soil_Moisture_grav,Gravimetric soil moisture content,% (g water/g dry soil*100),,Once,2011,2011,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture
ABS-UF,moisture,"pastures, wetlands, secondary dataset, GWC",%; g/g soil,Soil_Moisture_grav,Gravimetric soil moisture content,% (g water/g dry soil*100),,Irregular,2016,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture
ABS-UF,moisture,"RCREC, secondary dataset",%,Soil_Moisture_grav,Gravimetric soil moisture content,% (g water/g dry soil*100),,weekly,2016,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture
ABS-UF,moisture,"secondary dataset, fire plot",%,Soil_Moisture_vol,Volumetric soil moisture content,% vol (cm3 H2O/cm3 soil*100),,Yearly,2000,2006,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture
ABS-UF,nitrification,nitrification rate,g/ha/day N,Nitrification_rate,Rate of nitrate production,mg N/kg*hr,,Irregular,2000,2001,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Nitrous oxide, air, daily, mean or single measurement"
ABS-UF,nitrogen,NIFA,%,Nitrate_NO3_extractable,Nitrate in soil extract,mg N/kg,,Once in 2 years,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil nitrogen, soil, mean or single measurement"
ABS-UF,nitrogen,"NIFA, baseline",%,Ammonium_NH4_extractable,Ammonium in soil extract,mg N/kg,,Once,2016,2016,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil nitrogen, soil, mean or single measurement"
ABS-UF,pH,RCREC,pH,pH,Negative logarithm of the hydrogen ion concentration,no reported units,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil pH
ABS-UF,phosphorus,,ug/g soil,Total_Soil_P,Total soil phosphorus,mg P/kg,,monthly,2005,2006,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphorus, soil"
ABS-UF,phosphorus in resin,P conc in resin,ppm/cm2,Total_P_extractable,Total phosphorus in soil extract,mg P/kg,,monthly,2005,2006,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Phosphorus
ABS-UF,soils list,soil survey,categorical,Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,,Once,2010,2010,,".doc file, shapefiles",,,1,subsite,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil classification
ABS-UF,temperature,around eddy flux towers,C,Soil_Temp,Soil temperature at a given soil depth,°C,,monthly,2016,Present,,excel files,,,4,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature
ABS-UF,temperature,"RCREC, pre burn, burn, post burn",C,Soil_Temp,Soil temperature at a given soil depth,°C,,Irregular,2019,2019,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature
ABS-UF,temperature,"RCREC, secondary dataset",C,Soil_Temp,Soil temperature at a given soil depth,°C,,weekly,2016,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil temperature
ABS-UF,total carbon,"pastures, wetlands",%,Total_Soil_C,Total of all forms of carbon in the soil (organic and inorganic C),g C/kg,,Once,2000,2000,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil carbon, soil, mean or single measurement"
ABS-UF,total carbon,"RCREC, ashes, post fire",mg/kg,Total_Soil_C,Total of all forms of carbon in the soil (organic and inorganic C),g C/kg,,Once,2019,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil carbon, soil, mean or single measurement"
ABS-UF,total carbon,"RCREC, pre fire, post fire",mg/kg,Total_Soil_C,Total of all forms of carbon in the soil (organic and inorganic C),g C/kg,,Irregular,2009,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil carbon, soil, mean or single measurement"
ABS-UF,total carbon,wetlands,%,Total_Soil_C,Total of all forms of carbon in the soil (organic and inorganic C),g C/kg,,Once in 2 years,2007,2009,,excel files,,,40,wetlands,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil carbon, soil, mean or single measurement"
ABS-UF,total carbon,wetlands,%,Total_Soil_C,Total of all forms of carbon in the soil (organic and inorganic C),g C/kg,,Once,2016,2016,,excel files,,,40,wetlands,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil carbon, soil, mean or single measurement"
ABS-UF,total detrital weight,wetlands,g/m2,,,,SA: should we delete this?,Once in 2 years,2007,2009,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Ground cover, vegetated, none, mean or single measurement, fraction of land area"
ABS-UF,total nitrogen,"pastures, variable stocking rate",ug/g soil,Total_Soil_N,Total soil nitrogen,g N/kg,,Irregular,2000,2001,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil nitrogen, soil, mean or single measurement"
ABS-UF,total nitrogen,"pastures, wetlands",%,Total_Soil_N,Total soil nitrogen,g N/kg,,Once,2000,2000,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil nitrogen, soil, mean or single measurement"
ABS-UF,total nitrogen,"RCREC, ashes, post fire",mg/kg,Total_Soil_N,Total soil nitrogen,g N/kg,,Once,2019,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil nitrogen, soil, mean or single measurement"
ABS-UF,total nitrogen,"RCREC, pre fire, post fire",mg/kg,Total_Soil_N,Total soil nitrogen,g N/kg,,Irregular,2009,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil nitrogen, soil, mean or single measurement"
ABS-UF,total nitrogen,wetlands,%,Total_Soil_N,Total soil nitrogen,g N/kg,,Once in 2 years,2007,2009,,excel files,,,40,wetlands,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil nitrogen, soil, mean or single measurement"
ABS-UF,total nitrogen,wetlands,%,Total_Soil_N,Total soil nitrogen,g N/kg,,Once,2016,2016,,excel files,,,40,wetlands,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Total soil nitrogen, soil, mean or single measurement"
ABS-UF,total phosphorus,"pastures, wetlands","g/m2, ppm, %",Total_Soil_P,Total soil phosphorus,mg P/kg,,Once,2000,2000,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphorus, soil"
ABS-UF,total phosphorus,"RCREC, ashes, post fire",mg/kg,Total_Soil_P,Total soil phosphorus,mg P/kg,,Once,2019,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphorus, soil"
ABS-UF,total phosphorus,"RCREC, pre fire, post fire",mg/kg,Total_Soil_P,Total soil phosphorus,mg P/kg,,Irregular,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphorus, soil"
ABS-UF,total phosphorus,wetlands,"g/m2, ppm, %",Total_Soil_P,Total soil phosphorus,mg P/kg,,Once in 2 years,2007,2009,,excel files,,,40,wetlands,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphorus, soil"
ABS-UF,total phosphorus,wetlands,"g/m2, ppm, %",Total_Soil_P,Total soil phosphorus,mg P/kg,,Once,2016,2016,,excel files,,,40,wetlands,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphorus, soil"
ABS-UF,types,soil survey,categorical,Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,,Once,1997,1997,,.adf files,,,1,subsite,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil classification
CAF,% Clay,percent clay,%,,,,,0 year,1999,1999,David Huggins,xlsx,,,183,CookEast,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Clay, soil"
CAF,BICARB,Olson Bicarbonate extractable phosphorus,ppm,,,,,0 year,2017,now,David Huggins,csv,,,120,Cook,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","bicarbonate, soil"
CAF,BUFF_INDEX,pH_SMP Test,unitless,,,,,0 year,2017,now,David Huggins,csv,,,120,Cook,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil pH
CAF,B_PPM,Boron,ppm,B_extractable,Soil concentration of extractable Boron,mg B/kg,,0 year,2017,now,David Huggins,csv,,,120,Cook,STEWARDS,boron
CAF,BulkDensity,Bulk density of the subsample,g/cm^3,Bulk_Density,Oven-dried soil mass per volume,g/cm3,,0 year,1998,2015,David Huggins,csv,,,369,CookEast,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Bulk density, soil"
CAF,CA_PPM,Calcium,ppm,Ca_extractable,Soil concentration of extractable Calcium,mg Ca/kg,,0 year,2017,now,David Huggins,csv,,,120,Cook,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Calcium, soil"
CAF,CEC,Cation exchange capacity from sodium acetate / ammonium acetate method,meq/100g,CEC,Cation Exchange capacity,cmol/kg,,0 year,2017,now,David Huggins,csv,,,120,Cook,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Cation exchange capacity, soil"
CAF,CL_OR_AL_PPM,Chelated organic aluminum?,ppm,,,,,0 year,2017,now,David Huggins,csv,,,120,Cook,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Aluminum, soil"
CAF,CN_Ratio,1 day co2c burst organic c/n ratio,ppm,,,,,0 year,2017,now,David Huggins,csv,,,120,Cook,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",carbon to nitrogen ratio
CAF,CO2C_24HR,1 day co2c burst,ppm,,,,,0 year,2017,now,David Huggins,csv,,,120,Cook,MeasGHGFlux,"Carbon dioxide, air, daily, mean or single measurement"
CAF,CU_PPM,Copper,ppm,Cu_extractable,Soil concentration of extractable Copper,mg Cu/kg,,0 year,2017,now,David Huggins,csv,,,120,Cook,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Copper, soil"
